Price,Close,High,Low,Open,Volume,RSI,Upper Band,Lower Band,SMA_20,EMA_20
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,
Date,,,,,,,,,,
2025-03-03,238.02999877929688,244.02999877929688,236.11000061035156,241.7899932861328,47184000,,,,,238.02999877929688
2025-03-04,235.92999267578125,240.07000732421875,234.67999267578125,237.7100067138672,53798100,,,,,237.82999819800966
2025-03-05,235.74000549316406,236.5500030517578,229.22999572753906,235.4199981689453,47227600,,,,,237.63095127373865
2025-03-06,235.3300018310547,237.86000061035156,233.16000366210938,234.44000244140625,45170400,,,,,237.41181323157826
2025-03-07,239.07000732421875,241.3699951171875,234.75999450683594,235.11000061035156,46273600,,,,,237.5697364784964
2025-03-10,227.47999572753906,236.16000366210938,224.22000122070312,235.5399932861328,72071200,,,,,236.60880878792904
2025-03-11,220.83999633789062,225.83999633789062,217.4499969482422,223.80999755859375,76137400,,,,,235.10701712602062
2025-03-12,216.97999572753906,221.75,214.91000366210938,220.13999938964844,62547500,,,,,233.38063413568904
2025-03-13,209.67999267578125,216.83999633789062,208.4199981689453,215.9499969482422,61368300,,,,,231.1234301871264
2025-03-14,213.49000549316406,213.9499969482422,209.5800018310547,211.25,60107600,,,,,229.444056406749
